Name of the institute/ initiative,Year of establishment,Location,Key concepts,Degree offered (y/n),Website
 AI Now,2017,US,"The social implication of AI,especially in areas of rights and liberty, bias and inclusion and labour and automation",N,ainowinstitute.org
Ethics of AI Lab,2017,Canada,"To foster academic and public dialogue about Ethics of AI in Context—the normative dimensions of artificial intelligence and related phenomena in all aspects of private, public, and political life",Y,ethics.utoronto.ca/ethics-of-ai-in-context-eaic4e/
The Alan Turing Institute,2015,UK,To advance world-class research into AI’s applications and implications for society,Y,turing.ac.uk/research/data-ethics
Data & Society,2014,US,The study of the social implications of data-centric technologies & automation.,N,datasociety.net
Berkman Klein Center,1998,US,"examines issues of maintaining research participant’s privacy in the context of information technology, advances in statistical computing, and big data.",Y,cyber.harvard.edu
Foundation for Responsible Robotics,2015,Netherlands,Advocacy for ethical design and production of robot,N,responsiblerobotics.org
Montreal AI Ethics Institute,2018,Canada,"Creates tangible, policy research in the ethical, safe, and inclusive development of AI",N,montrealethics.ai
Civic AI Lab,2020,Netherlands,"Focuses on the application of AI in the fields of education, welfare, environment, mobility and health",Y,icai.ai/civic-ai-lab/
The Future Society,2014,US,Advocating the responsible adoption of AI and other emerging technologies for the benefit of humanity,Y,thefturesociety.org
The Japanese Society for Artificial Intelligence ,2014,Japan,"Exploring the relationship between artificial intelligence research/technology and society, and striving to effectively communicate it to the society",N,ai-gakkai.or.jp
