Name of the company,Year established,Location,Product in which AI is used,Annual turnover(in Billion $)
Netflix,1997,US,Recommendation engine,25
Uber,2009,US,"Personalised destination suggestions,One click Chat",11.1
Tesla,2003,US,Autonomous Driving,31.5
Twitter,2006,US,"Organizing content by relevance,Identifying posts that violate terms of service",3.72
Google,1998,US,Search Engine,123.8
Amazon,1994,US,"Items Recommendation,Personalised voice assistant",380.06
Facebook,2004,US,"Image Identification, Detect Harmful content",86
Apple,1976,US,"Personalised voice assistant,Image processimg systems",137.7
Microsoft,1975,US,Personalised voice assistant,143.02
Alibaba,1999,China,"Optimized supply chain, Personalized Products",109
