S. No.,Paper title,Year,Authors,Paper highlights
1,A healthy debate: Exploring the views of medical doctors on the ethics of artificial intelligence,2021,"Andreia Martinho, Maarten Kroesen, Caspar Chorus",In this study the authors surveyed medical doctors based in three countries about the ethics surrounding Health AI
2,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,2021,"Yi Zhang, Mengjia Wu, George Yijun Tian, Guangquan Zhang, Jie Lua",Mapping between 15 AI techniques and 17 major ethical issues is given
3,Ethics of autonomous weapons systems and its applicability to any AI systems,2020,Ángel Gómez de Ágreda,Dual use of AI implies that tools designed for good be used as weapons and the need to regulate them from that perspective
4,AI research and data protection: Can the same rules apply for commercial and academic research under the GDPR?,2021,"Janos Meszaros, Chih-hsing Ho","The paper examines how the EU General Data Protection Regulation (GDPR) is applied to the development of AI products and services, drawing attention to the differences between academic and commercial research"
5,A Neo-Republican Critique of AI ethics,2022,Jone Maas,Paper proposes that the neo-republican conception of freedom as non-domination provides a suitable framework to inform responsible ML developmen
6,Creating ethics guidelines for artificial intelligence and big data analytics customers: The case of the consumer European insurance market,2021,"Martin Mullins, Christopher P.Holland, Martin Cunneen",Analysis of AI in insurance operations regarding customer behavioral data
7,Artificial intelligence: From ethics to law,2020,Margarita Robles Carrillo,Analyses the wide-ranging debate in which there is a growing concern about its ethical and legal aspects
8,Some critical and ethical perspectives on the empirical turn of AI interpretability,2022,Jean-MarieJohn-Mathews,Paper proposes two scenarios for the future development of ethical AI: more external regulation or more liberalization of AI explanations
9,"Ethics of artificial intelligence in global health: Explainability, algorithmic bias and trust",2021,Angeliki Kerasidou,"The pathway to a fair, appropriate and relevant AI necessitates the development, and critically, successful implementation of national and international rules and regulations"
10,Artificial intelligence for human flourishing – Beyond principles for machine learning,2021,"B.C.Stahl, A.Andreoue, P. Brey, T.Hatzakis,A.Kirichenko,K.Macnish,S.Laulhé Shaelou, A.Patel,M.Ryan,D.Wright",Governance mechanisms can ensure that AI is conducive to human flourishing
